fips,year,state,food_cost,insurance_cost,healthcare_cost,housing_cost,transportation_cost,other_cost,state_tax_rate,pop,fica_tax_rate,federal_income_tax_rate,total_cost
504399999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,18509,0.0765,0.0534,20404.21641
504599999,2014,AR,3035.971767,962,2528.386391,7380,3965.869168,2195.290565,0.025,113237,0.0765,0.0534,23175.97641
504799999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,18125,0.0765,0.0534,20404.21641
504999999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,12245,0.0765,0.0534,20404.21641
505199999,2014,AR,3035.971767,962,2528.386391,6984,3965.869168,2195.290565,0.025,96024,0.0765,0.0534,22718.63601
505399999,2014,AR,3035.971767,962,2528.386391,5676,3965.869168,2195.290565,0.025,17853,0.0765,0.0534,21208.02681
505599999,2014,AR,3035.971767,962,2528.386391,5496,3965.869168,2195.290565,0.025,42090,0.0765,0.0534,21000.14481
505799999,2014,AR,3035.971767,962,2528.386391,5508,3965.869168,2195.290565,0.025,22609,0.0765,0.0534,21014.00361
505999999,2014,AR,3035.971767,962,2528.386391,5676,3965.869168,2195.290565,0.025,32923,0.0765,0.0534,21208.02681
506199999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,13789,0.0765,0.0534,20404.21641
506399999,2014,AR,3035.971767,962,2528.386391,5052,3965.869168,2195.290565,0.025,36647,0.0765,0.0534,20487.36921
506599999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,13696,0.0765,0.0534,20404.21641
506799999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,17997,0.0765,0.0534,20404.21641
506999999,2014,AR,3035.971767,962,2528.386391,5868,3965.869168,2195.290565,0.025,77435,0.0765,0.0534,21429.76761
507199999,2014,AR,3035.971767,962,2528.386391,5184,3965.869168,2195.290565,0.025,25540,0.0765,0.0534,20639.81601
507399999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,7645,0.0765,0.0534,20404.21641
507599999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,17415,0.0765,0.0534,20404.21641
507799999,2014,AR,3035.971767,962,2528.386391,5676,3965.869168,2195.290565,0.025,10424,0.0765,0.0534,21208.02681
507999999,2014,AR,3035.971767,962,2528.386391,5868,3965.869168,2195.290565,0.025,14134,0.0765,0.0534,21429.76761
508199999,2014,AR,3035.971767,962,2528.386391,5496,3965.869168,2195.290565,0.025,13171,0.0765,0.0534,21000.14481
508399999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,22353,0.0765,0.0534,20404.21641
508599999,2014,AR,3035.971767,962,2528.386391,7380,3965.869168,2195.290565,0.025,68356,0.0765,0.0534,23175.97641
508799999,2014,AR,3035.971767,962,2528.386391,6396,3965.869168,2195.290565,0.025,15717,0.0765,0.0534,22039.55481
508999999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,16653,0.0765,0.0534,20404.21641
509199999,2014,AR,3035.971767,962,2528.386391,6876,3965.869168,2195.290565,0.025,43462,0.0765,0.0534,22593.90681
509399999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,46480,0.0765,0.0534,20404.21641
509599999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,8149,0.0765,0.0534,20404.21641
509799999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,9487,0.0765,0.0534,20404.21641
509999999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,8997,0.0765,0.0534,20404.21641
510199999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,8330,0.0765,0.0534,20404.21641
510399999,2014,AR,3035.971767,962,2528.386391,5220,3965.869168,2195.290565,0.025,26120,0.0765,0.0534,20681.39241
510599999,2014,AR,3035.971767,962,2528.386391,7380,3965.869168,2195.290565,0.025,10445,0.0765,0.0534,23175.97641
510799999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,21757,0.0765,0.0534,20404.21641
510999999,2014,AR,3035.971767,962,2528.386391,5148,3965.869168,2195.290565,0.025,11291,0.0765,0.0534,20598.23961
