FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
02170,12972,13295,8002,8509,6397,4344,6165,59684,0.30,11851,10727,17045,9279,11779,-1534,76463,0.35,-21197,-15966,29055,0.16,11776,-1419,76575,0.00,2.13,0.35,0.93,8067,-23629,50656,0.32,4492,-10153,60557,0.24,49173,8553,-17045,57726,0.48
02122,9912,13295,8002,8509,6397,4344,5813,56272,0.38,14814,11673,17045,8509,13142,0,79440,0.37,-21197,-15966,29135,0.18,11776,-1419,76655,0.00,1.94,0.40,0.93,8067,-23629,50736,0.37,4492,-10153,60637,0.28,49253,8553,-17045,57806,0.51
02070,12384,13295,8002,8509,6397,4344,6098,59029,0.40,14599,9551,17045,8509,13142,0,79574,0.45,-21197,-15966,29269,0.22,11776,-1419,76789,0.00,1.98,0.48,0.93,8067,-23629,50870,0.41,4492,-10153,60771,0.34,49387,8553,-17045,57940,0.61
02050,14208,13295,8002,8509,6397,4344,6308,61063,0.44,14599,9522,17045,8509,14218,0,82445,0.67,-21926,-15362,30939,0.19,14314,0,82541,0.00,1.35,0.67,0.93,9206,-22776,54657,0.43,5084,-9423,63888,0.48,51182,9378,-17045,60560,0.62
02020,13752,13295,8002,8509,6397,4344,6255,60554,0.26,14599,9092,17045,9534,14218,0,82584,0.26,-21926,-15362,31078,0.10,14314,0,82680,0.00,1.35,0.48,0.93,16063,-17663,66766,0.36,5084,-9423,64027,0.30,51321,9378,-17045,60699,0.42
02110,14616,13295,8002,8509,6397,4344,6355,61518,0.20,14814,8576,17045,9440,14218,0,83053,0.22,-21926,-15362,31547,0.08,14314,0,83149,0.00,0.00,0.22,0.93,16063,-17663,67235,0.32,5084,-9423,64496,0.24,51790,9378,-17045,61168,0.32
02180,16320,13295,8002,8509,6397,4344,6551,63418,0.47,11851,11415,17045,8509,15290,0,84774,0.67,-22263,-15362,31859,0.22,14314,0,83798,0.00,1.90,0.52,0.93,17192,-16055,70621,0.58,5368,-9073,65779,0.42,52439,9775,-17045,62214,0.61
02090,15912,13295,8002,8509,6397,4344,6504,62963,0.30,16778,9952,17045,9174,17579,0,90785,0.48,-23114,-14582,35510,0.17,17608,0,90814,0.00,0.00,0.48,0.93,24164,-12000,85370,0.52,12237,0,85443,0.41,56161,19087,-17045,75248,0.39
02016,17232,13295,8002,8509,6397,4344,6656,64435,0.26,13837,14972,17045,8509,19142,0,95081,0.35,-23007,-13998,38934,0.14,19171,0,95110,0.00,0.00,0.35,0.93,26955,-12000,90894,0.38,15497,0,91436,0.33,58894,23118,-17045,82012,0.63
01047,6792,9869,6704,9859,5407,4284,6661,49576,0.68,9178,6992,7294,8209,6641,-2383,47007,0.62,-17431,-6492,18826,0.25,6654,-2309,47094,0.00,1.59,0.62,0.94,-2049,-18492,22208,0.20,7029,-2141,47637,0.68,35455,11282,-7294,46737,0.71
