FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
48225,4680,0,3022,4697,2144,2253,1935,18731,0.34,0,3022,3082,4697,1217,-2809,16142,0.36,563,-2724,15573,0.25,1210,-2724,16220,0.00,0.00,0.35,0.51,310,-14724,3320,0.07,1215,-2724,16225,0.26,14652,3232,-3082,16225,0.51
48147,4656,0,3022,4697,2144,2253,1932,18704,0.23,0,3022,3082,4697,1217,-2809,16118,0.25,563,-2724,15549,0.29,1210,-2724,16196,0.00,0.00,0.19,0.51,310,-14724,3296,0.05,1215,-2724,16201,0.19,14628,3232,-3082,16201,0.38
48081,4548,0,3022,4697,2144,2253,1920,18584,0.31,0,3022,3082,4697,1217,-2809,16010,0.32,563,-2724,15441,0.35,1210,-2724,16088,0.00,0.00,0.18,0.51,310,-14724,3188,0.04,1215,-2724,16093,0.17,14520,3232,-3082,16093,0.44
48449,4548,0,3022,4697,2144,2253,1920,18584,0.22,0,3022,3082,4695,1217,-2809,16008,0.23,563,-2724,15439,0.27,1210,-2724,16086,0.00,0.00,0.13,0.51,310,-14724,3186,0.04,1215,-2724,16091,0.12,14518,3232,-3082,16091,0.38
48043,6540,0,3022,4697,2144,2253,2149,20805,0.35,0,3022,3082,4697,1217,-2809,18002,0.39,563,-2724,17433,0.30,1210,-2724,18080,0.00,0.00,0.39,0.51,310,-14724,5180,0.05,1215,-2724,18085,0.33,16512,3232,-3082,18085,0.39
48355,6552,0,3022,4697,2144,2253,2151,20819,0.28,0,3022,3082,4684,1217,-2809,18001,0.31,563,-2724,17432,0.23,1210,-2724,18079,0.00,0.00,0.31,0.51,310,-14724,5179,0.07,1215,-2724,18084,0.26,16511,3232,-3082,18084,0.32
48409,6552,0,3022,4697,2144,2253,2151,20819,0.25,0,3022,3082,4683,1217,-2809,18000,0.28,563,-2724,17431,0.21,1210,-2724,18078,0.00,0.00,0.28,0.51,310,-14724,5178,0.05,1215,-2724,18083,0.23,16510,3232,-3082,18083,0.28
48469,6504,0,3022,4697,2144,2253,2145,20765,0.27,0,3022,3082,4711,1217,-2809,17980,0.30,563,-2724,17411,0.22,1210,-2724,18058,0.00,0.00,0.30,0.51,310,-14724,5158,0.06,1215,-2724,18063,0.26,16490,3232,-3082,18063,0.30
48175,6504,0,3022,4697,2144,2253,2145,20765,0.28,0,3022,3082,4709,1217,-2809,17978,0.31,563,-2724,17409,0.23,1210,-2724,18056,0.00,0.00,0.31,0.51,310,-14724,5156,0.04,1215,-2724,18061,0.26,16488,3232,-3082,18061,0.33
48259,6396,0,3022,4697,2144,2253,2133,20645,0.16,0,3022,3082,4799,1217,-2809,17960,0.18,563,-2724,17391,0.14,1210,-2724,18038,0.00,0.00,0.18,0.51,310,-14724,5138,0.04,1215,-2724,18043,0.14,16470,3232,-3082,18043,0.18
